index,amount,date,accountId,type
1,69999,1/6/2021,3580401894395203,jcb
2,82,10/16/2022,3574847285937524,jcb
3,17,6/7/2018,4405147070138930,visa-electron
4,12,10/22/2017,6706344253181057,laser
5,31,6/13/2017,3569547492095002,jcb
6,17,6/4/2021,6333609287122975,switch
7,48,7/18/2017,3555063977467969,jcb
8,23,1/24/2021,3554928788078547,jcb
9,47,12/30/2021,30263029558713,diners-club-carte-blanche
10,84,12/12/2016,3568251368637648,jcb
11,72,1/25/2017,5610463211374302,bankcard
12,33,1/23/2018,4026793557066448,visa-electron
13,40,6/6/2019,3539867331054458,jcb
14,57,1/2/2021,560223786292578315,china-unionpay
15,3333333,10/7/2019,3529452767744666,jcb
16,84,2/12/2018,5506768462986035,mastercard
17,38,3/17/2017,6333404056560138,switch
18,95,9/17/2018,3548570071791284,jcb
19,86,1/20/2019,4911453175494245307,switch
20,90,10/29/2019,201768404165267,diners-club-enroute
21,55,6/12/2020,56022159683994941,china-unionpay
22,53,2/2/2019,5100172902817746,mastercard
23,56,9/11/2020,3544527230777715,jcb
24,72,10/18/2019,3540273180868014,jcb
25,89,7/26/2018,3582430979179503,jcb
26,58,7/19/2019,3538588870257051,jcb
27,16,12/25/2016,30451466643151,diners-club-carte-blanche
28,46,10/8/2019,3540022584729524,jcb
29,9,2/3/2018,3548143046617420,jcb
30,11,6/28/2018,4917031277910518,visa-electron
31,72,10/11/2022,5602256637014577629,china-unionpay
32,21,6/15/2022,3586957018764941,jcb
33,10,12/13/2021,3556473809907950,jcb
34,24,3/13/2022,372301337546917,americanexpress
35,84,5/18/2018,4666269973269457,visa
36,95,7/16/2016,201503654452077,diners-club-enroute
37,61,2/19/2021,6388875064301801,instapayment
38,48,3/15/2022,3544659974191439,jcb
39,9,7/22/2021,675916675347524713,switch
40,27,2/2/2018,5602258182579275960,china-unionpay
41,2,9/29/2022,201834575353890,diners-club-enroute
42,88,8/11/2022,342958297191633,americanexpress
43,59,3/24/2018,3556438577949344,jcb
44,91,2/25/2019,490514678082012936,switch
45,28,7/26/2020,3555981717380939,jcb
46,3,9/11/2021,58934216557116176,maestro
47,62,9/11/2022,5010128285856072,mastercard
48,94,3/14/2020,6709679211205277489,laser
49,43,1/21/2018,379702118038425,americanexpress
50,23,4/2/2017,201595018681409,diners-club-enroute
51,33,1/13/2021,201533220597089,diners-club-enroute
52,76,11/20/2020,3571157302356598,jcb
53,9,12/11/2018,201831946514663,diners-club-enroute
54,48,1/8/2019,4026728014930356,visa-electron
55,17,1/16/2021,5524099293018485,mastercard
56,63,11/7/2019,30525980991657,diners-club-carte-blanche
57,77,2/27/2020,4026603999301040,visa-electron
58,52,7/9/2022,3577362673622404,jcb
59,26,10/20/2021,3528425819794203,jcb
60,33,2/3/2022,564182722287769461,switch
61,98,8/19/2020,3585843489808568,jcb
62,40,8/19/2022,5181838662355331,mastercard
63,21,10/2/2017,3555113239057601,jcb
64,90,8/4/2021,3537583018324856,jcb
65,57,11/23/2019,3530910667543147,jcb
66,68,6/12/2020,4452568855471273,visa
67,72,9/17/2021,30081878400088,diners-club-carte-blanche
68,39,6/4/2020,676713665580356884,solo
69,61,9/25/2022,4026839416997719,visa-electron
70,37,3/5/2017,4936089596542609,switch
71,20,9/11/2018,4917164758840993,visa-electron
72,71,7/13/2016,3584198082457979,jcb
73,50,8/23/2019,3565462541879717,jcb
74,48,10/29/2022,3582311887512482,jcb
75,98,6/12/2019,201518283600821,diners-club-enroute
76,71,3/27/2022,5267411720900873,mastercard
77,55,3/7/2019,4026815968909195,visa-electron
78,56,9/13/2016,4913358951467877,visa-electron
79,97,7/4/2019,3563863679617591,jcb
80,25,1/27/2018,3570342886454867,jcb
81,31,7/18/2020,3528351408893778,jcb
82,73,10/13/2022,3528728575846574,jcb
83,100,6/3/2016,561051209132523867,china-unionpay
84,91,5/17/2017,3575437573341115,jcb
85,98,2/22/2022,490336492590272396,switch
86,68,5/16/2019,3532306851015877,jcb
87,37,11/27/2019,201760263236685,diners-club-enroute
88,27,1/22/2020,3542520396861946,jcb
89,99,10/6/2017,4844338793025673,visa-electron
90,35,9/25/2017,5384402430834260,mastercard
91,78,5/14/2020,6334770956691986,solo
92,30,8/22/2016,5165085690050860,mastercard
93,71,3/5/2019,3570385823016471,jcb
94,21,4/11/2018,374288023540601,americanexpress
95,95,10/6/2017,3581066118034661,jcb
96,96,10/4/2022,58934782946993963,maestro
97,10,4/5/2021,6386077923149628,instapayment
98,25,2/17/2021,3568553046410284,jcb
99,24,8/12/2019,4936237246298637336,switch
100,100,7/4/2022,6759770131802710653,switch
101,17,11/17/2020,560223538293650548,china-unionpay
102,80,12/12/2017,201925305195005,diners-club-enroute
103,83,1/28/2022,3556604931895222,jcb
104,83,11/19/2017,5602227672651643,china-unionpay
105,40,10/22/2021,374283758305445,americanexpress
106,26,8/3/2016,3582748507831406,jcb
107,20,2/1/2019,3588040953191673,jcb
108,85,1/14/2020,5893401326627198366,maestro
109,25,3/26/2018,3560225191382117,jcb
110,73,3/6/2017,50383122065829644,maestro
111,41,2/4/2022,3571700166850055,jcb
112,47,5/4/2022,4913521630392358,visa-electron
113,41,10/31/2017,3589103240693676,jcb
114,29,7/11/2019,6761774553138757821,maestro
115,49,11/26/2020,201718692241452,diners-club-enroute
116,4,7/23/2021,3548699316144635,jcb
117,9,12/25/2020,30516055848385,diners-club-carte-blanche
118,81,10/15/2016,6763418856486731712,maestro
119,6,2/2/2022,3571575639245251,jcb
120,76,6/12/2019,5602243254849109,bankcard
121,1,8/18/2021,3582101668564673,jcb
122,35,7/19/2016,30124401535366,diners-club-carte-blanche
123,31,8/23/2018,3536540985850959,jcb
124,34,5/31/2018,5602214363369032,china-unionpay
125,45,6/12/2017,349877198128762,americanexpress
126,87,7/9/2022,3561690072709473,jcb
127,12,10/21/2018,5544705646502639,mastercard
128,41,1/8/2020,372486920031953,americanexpress
129,73,12/6/2016,3534670014755192,jcb
130,91,11/28/2021,491195973175411572,switch
131,52,11/11/2016,30129273582693,diners-club-carte-blanche
132,59,4/19/2022,3588668686798248,jcb
133,93,5/13/2020,6761483036321326812,maestro
134,25,5/20/2016,3583881889720126,jcb
135,86,5/6/2022,3540365612552891,jcb
136,22,3/8/2021,201599063786071,diners-club-enroute
137,11,12/29/2019,3578309036285501,jcb
138,99,11/16/2016,3578092450930766,jcb
139,18,5/14/2020,5602210805934854,bankcard
140,28,4/23/2019,3554692272214030,jcb
141,57,5/9/2017,4905352231010979,switch
142,72,9/26/2020,3576697102323509,jcb
143,20,10/1/2019,4814459771056096,visa
144,34,10/6/2018,30316543018885,diners-club-carte-blanche
145,98,7/6/2020,3564653965740267,jcb
146,64,8/15/2017,5641823432679032,switch
147,39,9/21/2017,63043394618353829,maestro
148,81,8/20/2019,374622864513949,americanexpress
149,81,8/4/2020,3580655330111835,jcb
150,7,3/7/2020,201914868103192,diners-club-enroute
151,11,5/8/2017,501839275842485775,maestro
152,23,8/31/2017,3580278553190988,jcb
153,37,6/11/2019,4936556695721219216,switch
154,50,7/15/2019,6334899649950077,solo
155,9,11/8/2019,560225109996696895,china-unionpay
156,82,11/5/2017,5038773768744324403,maestro
